Byte pair, Frequency
(104, 309), -> [22]
(306, 289), -> [3]
(278, 117), -> [5]
(117, 289), -> [7]
(289, 100), -> [1]
(111, 262), -> [5]
(52, 49), -> [17]
(349, 269), -> [14]
(115, 288), -> [1]
(336, 105), -> [3]
(39, 118), -> [4]
(100, 262), -> [32]
(314, 336), -> [1]
(336, 307), -> [1]
(32, 260), -> [6]
(260, 335), -> [8]
(335, 258), -> [5]
(39, 100), -> [2]
(349, 347), -> [2]
(347, 265), -> [4]
(306, 280), -> [8]
(105, 98), -> [14]
(98, 347), -> [25]
(262, 121), -> [17]
(47, 65), -> [8]
(65, 84), -> [4]
(278, 333), -> [2]
(52, 50), -> [17]
(347, 279), -> [2]
(314, 77), -> [4]
(77, 71), -> [3]
